"A̱o","Trimestre","Hogares","Comercial","Gobierno","Otros","Total"
"2024","3","5901212","599293","27486","80908","6608899"
"2024","2","6242915","669618","27789","93889","7034211"
"2024","1","6161229","630018","27462","89347","6908056"
"2023","4","6242915","669618","27789","93889","7034211"
"2023","3","6323673","685453","27460","96169","7132755"
"2023","2","6345802","694975","27297","100202","7168276"
"2023","1","6182939","695300","27143","107378","7012760"
"2022","4","6307995","594245","27073","111559","7040872"
"2022","3","6292004","597354","26497","108792","7024647"
"2022","2","6307810","610291","26749","112884","7057734"
"2022","1","6452832","627770","26807","115796","7223205"
"2021","4","6933738","538714","34262","119641","7626355"
"2021","3","6311742","536500","34225","120836","7003303"
"2021","2","6378508","545706","34144","123358","7081716"
"2021","1","6459673","557287","34041","149460","7200461"
"2020","4","6621370","579315","34155","129192","7364032"
"2020","3","6712162","542624","36283","141479","7432548"
"2020","2","6694729","598402","34391","135735","7463257"
"2020","1","6778310","605915","33415","137990","7555630"
"2019","4","6942553","618847","34546","166866","7762812"
"2019","3","7069250","619801","34329","169309","7892689"
"2019","2","7177951","640458","34264","277310","8129983"
"2019","1","7360178","655594","34826","276802","8327400"
"2018","4","8764892","715700","39825","285500","9805917"
"2018","3","8656721","709503","38828","289936","9694988"
"2018","2","8638311","712144","38473","314771","9703699"
"2018","1","8490573","711654","37447","427247","9666921"
"2017","4","8971186","721607","37856","530163","10260812"
"2017","3","8829818","724585","37068","539018","10130489"
"2017","2","9037000","759247","38093","545409","10379749"
"2017","1","8950226","721226","37841","530088","10239381"
"2016","4","8971186","721607","37856","530163","10260812"
"2016","3","8829818","724585","37068","539018","10130489"
"2016","2","9037000","759247","38093","545409","10379749"
"2016","1","8950226","721226","37841","530088","10239381"
"2015","4","8380800","1003363","35161","556474","9975798"
"2015","3","8364541","1095767","35230","555079","10050617"
"2015","2","8291156","1103025","34419","562590","9991190"
"2015","1","8358053","1134427","36888","556853","10086221"
"2014","4","7989623","1106502","33139","560488","9689752"
"2014","3","7924613","1091747","32516","564485","9613361"
"2014","2","7872511","1073038","31339","572106","9548994"
"2014","1","7897980","1065834","30917","567500","9562231"