"Año","Trimestre","TV Suscripción","TV Satelital"
"2024","3","7551552","1170791"
"2024","2","7454428","1367489"
"2024","1","7601499","1445205"
"2023","4","7650809","1508789"
"2023","3","7743735","1683205"
"2023","2","8076400","1735655"
"2023","1","7770412","1766221"
"2022","4","7680025","1837878"
"2022","3","7665931","2064699"
"2022","2","7647584","2064637"
"2022","1","7564827","2049628"
"2021","4","7596758","2010217"
"2021","3","7676892","2147571"
"2021","2","7333071","2326029"
"2021","1","7346948","2261855"
"2020","4","7332508","2320365"
"2020","3","7329433","2451671"
"2020","2","7224135","2453731"
"2020","1","7221911","2456768"
"2019","4","7296185","2459872"
"2019","3","7156690","2460927"
"2019","2","7048709","2460177"
"2019","1","6971691","2473124"
"2018","4","6911972","2474558"
"2018","3","7043550","2536706"
"2018","2","6930762","2502826"
"2018","1","6932176","2466902"
"2017","4","6826025","2562320"
"2017","3","6767020","2592551"
"2017","2","6766484","2576258"
"2017","1","6603332","2531404"
"2016","4","6553801","2662031"
"2016","3","6538382","2628542"
"2016","2","6534381","2642286"
"2016","1","6505712","2539255"
"2015","4","6506102","2537610"
"2015","3","6489305","2585384"
"2015","2","6460053","2582737"
"2015","1","6409504","2495326"
"2014","4","6478044","2466184"
"2014","3","6449845","2450098"
"2014","2","6438522","2546820"