"A̱o","Trimestre","Ingresos"
"2024","3","541734583,50"
"2024","2","442032166,69"
"2024","1","346198986,13"
"2023","4","167376014,80"
"2023","3","133106593,41"
"2023","2","118060280,28"
"2023","1","104134992,81"
"2022","4","72443482,99"
"2022","3","64086784,33"
"2022","2","60419500,62"
"2022","1","55219313,01"
"2021","4","45467887,17"
"2021","3","42999944,29"
"2021","2","38239666,63"
"2021","1","36676371,36"
"2020","4","33539702,72"
"2020","3","31997444,53"
"2020","2","32102475,99"
"2020","1","29946216,45"
"2019","4","24169250,70"
"2019","3","21652748,44"
"2019","2","20743117,69"
"2019","1","20207413,77"
"2018","4","16637686,59"
"2018","3","15410980,69"
"2018","2","14319467,46"
"2018","1","13171459,23"
"2017","4","11226127,39"
"2017","3","10065997,86"
"2017","2","9678646,93"
"2017","1","8701201,42"
"2016","4","7483980,39"
"2016","3","6912441,54"
"2016","2","6534240,60"
"2016","1","5936844,89"
"2015","4","5376899,21"
"2015","3","5153738,88"
"2015","2","4701790,72"
"2015","1","4876385,32"
"2014","4","3950440,78"
"2014","3","3478637,74"
"2014","2","3270816,20"
"2014","1","2984054,21"