"Año","MesId","Mes","Postales","Telegráficas","Monetarios"
"2024","9","Septiembre","53011761","438721","15459"
"2024","8","Agosto","52631233","441297","16262"
"2024","7","Julio","53910487","392815","17351"
"2024","6","Junio","50087901","356765","17372"
"2024","5","Mayo","59670347","447910","18463"
"2024","4","Abril","54898216","482863","18873"
"2024","3","Marzo","51184476","474869","18911"
"2024","2","Febrero","50923854","488809","18555"
"2024","1","Enero","54558643","470498","17485"
"2023","12","Diciembre","51679720","539550","18882"
"2023","11","Noviembre","52286471","1314146","18694"
"2023","10","Octubre","59333811","541598","19082"
"2023","9","Septiembre","52961250","570441","19168"
"2023","8","Agosto","62049247","543355","19396"
"2023","7","Julio","56627944","614306","19040"
"2023","6","Junio","61035516","462614","23942"
"2023","5","Mayo","61652418","546908","18029"
"2023","4","Abril","56042891","515266","17596"
"2023","3","Marzo","58194932","591253","25496"
"2023","2","Febrero","58017530","594347","24401"
"2023","1","Enero","61754515","468258","25837"
"2022","12","Diciembre","55010325","545873","28378"
"2022","11","Noviembre","60255943","527639","31487"
"2022","10","Octubre","59805498","508548","27522"
"2022","9","Septiembre","64810164","567282","27532"
"2022","8","Agosto","65535669","595321","29577"
"2022","7","Julio","63722446","554196","27808"
"2022","6","Junio","64273799","636316","28451"
"2022","5","Mayo","68712508","555788","29871"
"2022","4","Abril","62722079","550401","30070"
"2022","3","Marzo","64889595","606448","30589"
"2022","2","Febrero","60357864","517066","29395"
"2022","1","Enero","63596707","530177","29024"
"2021","12","Diciembre","62296089","769282","37574"
"2021","11","Noviembre","62339705","597527","36631"
"2021","10","Octubre","61281796","498257","36255"
"2021","9","Septiembre","62920499","662970","35723"
"2021","8","Agosto","63704992","568085","38931"
"2021","7","Julio","65442944","510131","38829"
"2021","6","Junio","60352309","720945","39348"
"2021","5","Mayo","64362248","572914","38517"
"2021","4","Abril","66502988","488817","39828"
"2021","3","Marzo","67865295","764609","47693"
"2021","2","Febrero","60049779","670747","42416"
"2021","1","Enero","68814192","457413","42358"
"2020","12","Diciembre","62487343","672637","52059"
"2020","11","Noviembre","60218116","586373","52059"
"2020","10","Octubre","65986326","444354","55263"
"2020","9","Septiembre","62518864","568247","56121"
"2020","8","Agosto","67211158","514076","58650"
"2020","7","Julio","69533044","503457","55825"
"2020","6","Junio","66918543","547639","61783"
"2020","5","Mayo","68108668","305482","62778"
"2020","4","Abril","70015650","376009","95113"
"2020","3","Marzo","67730792","408843","52263"
"2020","2","Febrero","79240835","579433","58615"
"2020","1","Enero","83503524","512323","64911"
"2019","12","Diciembre","84257177","521656","68327"
"2019","11","Noviembre","84852337","479474","64346"
"2019","10","Octubre","83277193","598289","71131"
"2019","9","Septiembre","87486754","565036","69562"
"2019","8","Agosto","90215995","467246","70407"
"2019","7","Julio","87619832","463099","74914"
"2019","6","Junio","79259897","394754","70202"
"2019","5","Mayo","87510625","546128","89034"
"2019","4","Abril","80679355","632234","89641"
"2019","3","Marzo","82196686","551990","89346"
"2019","2","Febrero","77872325","630808","99019"
"2019","1","Enero","87033285","390117","106055"
"2018","12","Diciembre","77844916","456778","109934"
"2018","11","Noviembre","79157006","459650","116463"
"2018","10","Octubre","83431660","473659","126443"
"2018","9","Septiembre","77987263","388380","112358"
"2018","8","Agosto","80188037","479113","128515"
"2018","7","Julio","87558592","383223","123906"
"2018","6","Junio","88518209","431218","119322"
"2018","5","Mayo","88741867","478526","132130"
"2018","4","Abril","89200470","548351","124713"
"2018","3","Marzo","90491120","445467","129256"
"2018","2","Febrero","82729022","388755","114576"
"2018","1","Enero","97089884","429962","126117"
"2017","12","Diciembre","92217518","510224","132776"
"2017","11","Noviembre","87949257","495372","136583"
"2017","10","Octubre","89551788","473799","141299"
"2017","9","Septiembre","91995776","397920","135600"
"2017","8","Agosto","102907747","619908","140844"
"2017","7","Julio","92403143","559011","129386"
"2017","6","Junio","94287266","464980","136030"
"2017","5","Mayo","98667806","460220","135917"
"2017","4","Abril","96364717","444051","116959"
"2017","3","Marzo","105149469","555816","152685"
"2017","2","Febrero","86430636","456533","122006"
"2017","1","Enero","105166302","382576","137175"
"2016","12","Diciembre","102139890","740012","146815"
"2016","11","Noviembre","95516099","585863","145484"
"2016","10","Octubre","97571008","508767","140927"
"2016","9","Septiembre","99811035","554971","139964"
"2016","8","Agosto","99327506","470424","139964"
"2016","7","Julio","95725107","366736","148316"
"2016","6","Junio","99017137","431586","139964"
"2016","5","Mayo","109780455","442974","148317"
"2016","4","Abril","107037781","444656","141283"
"2016","3","Marzo","105199439","487775","152000"
"2016","2","Febrero","98755984","382895","141000"
"2016","1","Enero","93448781","380276","124000"
"2015","12","Diciembre","98470116","404492","135023"
"2015","11","Noviembre","98117315","369018","127306"
"2015","10","Octubre","93356171","405363","134508"
"2015","9","Septiembre","100711692","404759","138131"
"2015","8","Agosto","102020019","455933","131118"
"2015","7","Julio","101366643","379531","135320"
"2015","6","Junio","103547338","620074","140602"
"2015","5","Mayo","103558206","407401","126363"
"2015","4","Abril","105727561","472963","133389"
"2015","3","Marzo","103532470","475424","135652"
"2015","2","Febrero","100451517","398261","129179"
"2015","1","Enero","107827686","360330","133192"
"2014","12","Diciembre","105292283","495083","153810"
"2014","11","Noviembre","106240311","421558","132150"
"2014","10","Octubre","113375380","475197","149539"
"2014","9","Septiembre","116617891","436713","146188"
"2014","8","Agosto","106158484","380090","136953"
"2014","7","Julio","111286636","459714","173382"
"2014","6","Junio","113467661","480151","171023"
"2014","5","Mayo","118459411","494144","143212"
"2014","4","Abril","109360863","443297","166317"
"2014","3","Marzo","111252374","436235","169307"
"2014","2","Febrero","108581141","428756","170321"
"2014","1","Enero","119149405","375032","155666"
"2013","12","Diciembre","120224093","454865","141598"
"2013","11","Noviembre","113317496","447135","152422"
"2013","10","Octubre","116898402","469090","162194"
"2013","9","Septiembre","117044531","465416","155235"
"2013","8","Agosto","115342955","509003","161870"
"2013","7","Julio","121963604","461076","164894"
"2013","6","Junio","109799250","423315","150790"
"2013","5","Mayo","122423753","564890","173454"
"2013","4","Abril","116512228","501343","169435"
"2013","3","Marzo","118810801","476393","169978"
"2013","2","Febrero","110206207","432498","165077"
"2013","1","Enero","117753392","386666","179079"